datetime,open,high,low,close,volume
02-04-2021,13.531,13.6735,13.3378625,13.66425,201338480
02-05-2021,13.725,13.73725,13.54575,13.591,169153640
02-08-2021,13.727215,14.47375,13.727215,14.43875,434622840
02-09-2021,14.340625,14.58325,14.2225,14.26325,287560120
02-10-2021,14.46325,14.905,14.341375,14.76425,485352320
02-11-2021,14.98025,15.27225,14.925,15.25075,450827720
02-12-2021,15.05,15.2911375,14.775,14.96125,374757480
02-16-2021,15.06425,15.3725,14.95,15.33025,321959520
02-17-2021,15.171,15.2235175,14.78,14.906,275698680
02-18-2021,14.729,14.87325,14.575,14.829,234080800
02-19-2021,15.0245,15.1769975,14.8467,14.9265,271724120
02-22-2021,14.77475,15.13325,14.325,14.35575,325885560
02-23-2021,14.07525,14.23875,13.3895,14.142,391779320
02-24-2021,14.12275,14.50675,13.756,14.499,448319080
02-25-2021,14.0454175,14.37475,13.21625,13.3075,824436040
02-26-2021,13.7525,13.8545,13.361,13.7145,500930400
03-01-2021,13.875,13.925,13.5532475,13.84175,353183000
03-02-2021,13.9,13.9205,13.396,13.40625,264114120
03-03-2021,13.42625,13.4515,12.79875,12.80475,377590280
03-04-2021,12.80075,12.975,12.08375,12.37025,573345160
03-05-2021,12.55,12.55,11.67925,12.4615,542838840
03-08-2021,12.45,12.47125,11.5665,11.59325,543111680
03-09-2021,12.13025,12.61675,12.05925,12.52025,521825520
03-10-2021,12.8405,12.98,12.4575,12.46825,384376560
03-11-2021,12.95,13.04625,12.7345,12.9935,299914280
03-12-2021,12.64825,12.88875,12.59,12.856,243963960
03-15-2021,12.86475,13.20675,12.767125,13.19125,222520440
03-16-2021,13.3565,13.5125,13.11675,13.29125,272129600
03-17-2021,13.03975,13.45325,12.9895,13.34125,243864200
03-18-2021,13.1365,13.184,12.7170425,12.7225,294188080
03-19-2021,12.75,12.9215,12.6125,12.84575,299206960
03-22-2021,12.91275,13.3945,12.90675,13.18625,297803080
03-23-2021,13.25425,13.3445,13.02125,13.07075,222046080
03-24-2021,13.15125,13.159125,12.63675,12.643,245838520
03-25-2021,12.4995,12.71475,12.272,12.53525,295144560
03-26-2021,12.5545,12.85625,12.3735,12.83925,363968960
03-29-2021,12.82025,13.0625,12.7,12.94825,273519880
03-30-2021,12.84195,12.97525,12.705,12.87175,200202480
03-31-2021,13.0155,13.4705,12.9825,13.34825,314777520
04-01-2021,13.57225,13.87,13.51125,13.81175,308274600
04-05-2021,13.8675,14.0139625,13.733,13.9875,255671400
04-06-2021,13.9996775,14.054125,13.7736225,13.8615,191745960
04-07-2021,13.88075,14.2434975,13.7115,14.1435,251284360
04-08-2021,14.25275,14.4715,14.2489425,14.317,244414920
04-09-2021,14.214,14.408,14.175,14.4,195170880
04-12-2021,14.28975,15.3525,14.13925,15.209,869322000
04-13-2021,15.2315,15.7,15.12575,15.6795,676211880
04-14-2021,15.625,15.72046,15.2275,15.277,385501920
04-15-2021,15.6625,16.21415,15.6315,16.13725,598480680
04-16-2021,16.0530875,16.16575,15.86525,15.9125,335207560
04-19-2021,15.53654,15.8075,15.2330025,15.36175,404418080
04-20-2021,15.32325,15.497,14.963,15.17125,334133040
04-21-2021,15.11875,15.3625,15.10225,15.3605,216777040
04-22-2021,15.375,15.4385675,14.7835,14.85025,277786280
04-23-2021,14.9343625,15.334875,14.90025,15.26525,227772200
04-26-2021,15.185045,15.479,15.125,15.478,197797080
04-27-2021,15.5785,15.6705,15.3545,15.38175,164573000
